period,operator,metric,segment,value,unit,source_id,estimated
FY2022,_market,mobile_lines,all,4.480469,m,R02,true
FY2022,_market,mobile_penetration,all,115.22,pct,R02,false
FY2022,_market,fixed_broadband_subscribers,all,1.087689,m,R02,true
FY2022,_market,broadband_subscribers_total,fixed_and_mobile,5.992716,m,R02,true
FY2022,_market,tv_subscribers,all,0.872635,m,R02,true
FY2022,_market,market_revenue,mobile_quarterly,1052741500,HRK,R02,false
FY2022,_market,market_revenue,fixed_telephony_quarterly,238497650,HRK,R02,false
FY2022,_market,market_revenue,tv_quarterly,225991212,HRK,R02,false
FY2022,_market,market_revenue,broadband_access_quarterly,1364233060,HRK,R02,false
FY2023,_market,mobile_lines,all,4.562734,m,R06,true
FY2023,_market,mobile_penetration,all,117.84,pct,R06,false
FY2023,_market,fixed_broadband_subscribers,all,1.113945,m,R06,true
FY2023,_market,broadband_subscribers_total,fixed_and_mobile,6.556802,m,R06,true
FY2023,_market,tv_subscribers,all,0.915704,m,R06,true
FY2023,_market,market_revenue,mobile_quarterly,152235051,EUR,R06,false
FY2023,_market,market_revenue,fixed_telephony_quarterly,31489501,EUR,R06,false
FY2023,_market,market_revenue,tv_quarterly,32917955,EUR,R06,false
FY2024,_market,mobile_lines,all,4.717531,m,R08,true
FY2024,_market,mobile_penetration,all,121.84,pct,R08,false
FY2024,_market,fixed_broadband_subscribers,all,1.147086,m,R08,true
FY2024,_market,broadband_subscribers_total,fixed_and_mobile,6.886349,m,R08,true
FY2024,_market,tv_subscribers,all,0.927460,m,R08,true
FY2024,_market,market_revenue,total_annual,1869887668,EUR,R08,false
FY2024,_market,market_revenue,mobile_quarterly,167898798,EUR,R08,false
FY2024,_market,market_revenue,broadband_access_quarterly,213011712,EUR,R08,false
FY2024,_market,market_revenue,tv_quarterly,36917193,EUR,R08,false
FY2025,_market,mobile_lines,all,4.960809,m,R09,true
FY2025,_market,mobile_penetration,all,128.13,pct,R09,false
FY2025,_market,fixed_broadband_subscribers,all,1.184418,m,R09,true
FY2025,_market,broadband_subscribers_total,fixed_and_mobile,7.202581,m,R09,true
FY2025,_market,tv_subscribers,all,0.939653,m,R09,true
FY2025,_market,market_revenue,total_annual,1870000000,EUR,R09,true
FY2025,_market,market_revenue,mobile_quarterly,164447259,EUR,R09,false
FY2025,_market,market_revenue,fixed_telephony_quarterly,25371673,EUR,R09,false
FY2025,_market,market_revenue,broadband_access_quarterly,218746186,EUR,R09,false
FY2025,_market,market_revenue,tv_quarterly,39712864,EUR,R09,false
