period,metric,value,currency,unit,basis,estimated,source_id,is_preferred,note
FY2022,revenue,470,EUR,m,segment,true,S05,true,"Segment Croatia table, A1 Group Financial Report 2023 (2022 comparative): Total revenues 470"
FY2022,revenue,470,EUR,m,segment,true,S06,false,"A1 Combined Report 2022, Total revenues (incl. other operating income) table: Croatia 470 (FY2022)"
FY2022,ebitda,161,EUR,m,segment,true,S05,true,"Segment Croatia table, A1 Group Financial Report 2023 (2022 comparative): EBITDA 161"
FY2022,ebitda,161,EUR,m,segment,true,S06,false,"A1 Combined Report 2022, EBITDA table: Croatia 161 (FY2022)"
FY2022,ebitda_margin,34.2,EUR,pct,segment,true,S05,true,"Segment Croatia table, A1 Group Financial Report 2023 (2022 comparative): EBITDA margin 34.2%"
FY2022,mobile_subscribers,2000,EUR,thousands,segment,true,S06,true,"A1 Combined Report 2022 competitive-landscape table: Croatia mobile subscribers 2.0m (rounded)"
FY2022,fixed_broadband_subscribers,700,EUR,thousands,segment,true,S06,true,"A1 Combined Report 2022 competitive-landscape table: Croatia RGUs 0.7m (rounded; RGUs proxy for fixed broadband)"
FY2023,revenue,525,EUR,m,segment,true,S05,true,"Segment Croatia table, A1 Group Financial Report 2023: Total revenues 525"
FY2023,revenue,525,EUR,m,segment,true,S02,false,"A1 Group Results Report 2024, Croatia revenue table (2023 comparative): 525"
FY2023,ebitda,189,EUR,m,segment,true,S05,true,"Segment Croatia table, A1 Group Financial Report 2023: EBITDA 189"
FY2023,ebitda,189,EUR,m,segment,true,S02,false,"A1 Group Results Report 2024, Croatia EBITDA table (2023 comparative): 189"
FY2023,ebitda_margin,36.0,EUR,pct,segment,true,S05,true,"Segment Croatia table, A1 Group Financial Report 2023: EBITDA margin 36.0%"
FY2023,mobile_subscribers,2000,EUR,thousands,segment,true,S05,true,"A1 Group Financial Report 2023 competitive-landscape table: Croatia mobile subscribers 2.0m (rounded)"
FY2023,fixed_broadband_subscribers,700,EUR,thousands,segment,true,S05,true,"A1 Group Financial Report 2023 competitive-landscape table: Croatia RGUs 0.7m (rounded; RGUs proxy for fixed broadband)"
FY2024,revenue,570,EUR,m,segment,true,S01,true,"A1 At a Glance 2024, Croatia Key figures table: Revenues 570"
FY2024,revenue,570,EUR,m,segment,true,S02,false,"A1 Group Results Report 2024, Segment Croatia table: Total revenues 570"
FY2024,ebitda,224,EUR,m,segment,true,S01,true,"A1 At a Glance 2024, Croatia Key figures table: EBITDA 224"
FY2024,ebitda,224,EUR,m,segment,true,S02,false,"A1 Group Results Report 2024, Segment Croatia table: EBITDA 224"
FY2024,ebitda_margin,39.3,EUR,pct,segment,true,S02,true,"A1 Group Results Report 2024, Segment Croatia table: EBITDA margin 39.3%"
FY2024,mobile_subscribers,2158,EUR,thousands,segment,true,S01,true,"A1 At a Glance 2024, Croatia Market position panel: Mobile subscribers 2,158 (in 1,000)"
FY2024,fixed_broadband_subscribers,722,EUR,thousands,segment,true,S01,true,"A1 At a Glance 2024, Croatia Market position panel: RGUs 722 (in 1,000; RGUs proxy for fixed broadband)"
