period,metric,value,currency,unit,basis,estimated,source_id,is_preferred,note
FY2023,revenue,816013,MXN,m,consolidated,false,S01,true,operating revenues
FY2024,revenue,869221,MXN,m,consolidated,false,S01,true,operating revenues
FY2025,revenue,943638,MXN,m,consolidated,false,S01,true,operating revenues; =US$52521m at Ps.17.9667/USD
FY2023,ebitda,319570,MXN,m,consolidated,false,S01,true,computed: revenue less operating costs ex D&A
FY2024,ebitda,344228,MXN,m,consolidated,false,S01,true,computed: revenue less operating costs ex D&A
FY2025,ebitda,372209,MXN,m,consolidated,false,S01,true,computed: revenue less operating costs ex D&A
FY2023,ebitda_margin,39.2,,pct,consolidated,false,S01,true,
FY2024,ebitda_margin,39.6,,pct,consolidated,false,S01,true,
FY2025,ebitda_margin,39.4,,pct,consolidated,false,S01,true,
FY2023,operating_income,167784,MXN,m,consolidated,false,S01,true,
FY2024,operating_income,180100,MXN,m,consolidated,false,S01,true,
FY2025,operating_income,191404,MXN,m,consolidated,false,S01,true,
FY2023,depreciation_amortization,151786,MXN,m,consolidated,false,S01,true,
FY2024,depreciation_amortization,164128,MXN,m,consolidated,false,S01,true,
FY2025,depreciation_amortization,180805,MXN,m,consolidated,false,S01,true,
FY2023,net_income,80790,MXN,m,consolidated,false,S01,true,net profit for the year (total)
FY2024,net_income,27591,MXN,m,consolidated,false,S01,true,net profit for the year (total); down on FX/derivative effects
FY2025,net_income,88117,MXN,m,consolidated,false,S01,true,net profit for the year (total)
FY2023,net_income_parent,76111,MXN,m,consolidated,false,S01,true,attributable to equity holders of the parent
FY2024,net_income_parent,22902,MXN,m,consolidated,false,S01,true,attributable to equity holders of the parent
FY2025,net_income_parent,82819,MXN,m,consolidated,false,S01,true,attributable to equity holders of the parent
FY2023,capex,156300,MXN,m,consolidated,false,S01,true,PP&E + licence acquisition/renewal
FY2024,capex,130800,MXN,m,consolidated,false,S01,true,PP&E + licence acquisition/renewal
FY2025,capex,130800,MXN,m,consolidated,false,S01,true,PP&E + licence acquisition/renewal
FY2023,total_assets,1564186,MXN,m,consolidated,false,S01,true,
FY2024,total_assets,1793921,MXN,m,consolidated,false,S01,true,
FY2025,total_assets,1799616,MXN,m,consolidated,false,S01,true,
FY2023,total_equity,421702,MXN,m,consolidated,false,S01,true,
FY2024,total_equity,432184,MXN,m,consolidated,false,S01,true,
FY2025,total_equity,427672,MXN,m,consolidated,false,S01,true,
