period,metric,value,currency,unit,basis,estimated,source_id,is_preferred,note
FY2021,revenue,7393,HRK,m,consolidated,false,S02,true,"HT Group; reported in HRK million (pre-euro). S01 reports 7393 for FY2021 as well."
FY2021,ebitda,2883,HRK,m,consolidated,false,S02,true,"Adjusted EBITDA AL (EBITDA after leases, before exceptional items). S01 labels this 'EBITDA before exceptional items after leases' = 2883."
FY2021,ebitda_margin,39.0,HRK,pct,consolidated,false,S02,true,"Adjusted EBITDA AL margin."
FY2021,net_income,615,HRK,m,consolidated,false,S02,true,"Net profit after non-controlling interests."
FY2021,capex,1779,HRK,m,consolidated,false,S02,true,"CAPEX AL (after leases). S02 FY2021 column."
FY2022,revenue,7410,HRK,m,consolidated,false,S02,true,"HT Group; HRK million (Croatia adopted EUR 2023-01-01)."
FY2022,ebitda,2845,HRK,m,consolidated,false,S02,true,"Adjusted EBITDA AL."
FY2022,ebitda_margin,38.4,HRK,pct,consolidated,false,S02,true,"Adjusted EBITDA AL margin."
FY2022,net_income,655,HRK,m,consolidated,false,S02,true,"Net profit after non-controlling interests."
FY2022,capex,1737,HRK,m,consolidated,false,S02,true,"CAPEX AL."
FY2023,revenue,1039.3,EUR,m,consolidated,false,S03,true,"HT Group; first reporting year in EUR. S14 (annual report) consistent."
FY2023,ebitda,397.5,EUR,m,consolidated,false,S03,true,"Adjusted EBITDA AL. (Unadjusted EBITDA AL = 384.5 per S03.)"
FY2023,ebitda_margin,38.2,EUR,pct,consolidated,false,S03,true,"Adjusted EBITDA AL margin."
FY2023,net_income,132.0,EUR,m,consolidated,false,S03,true,"Net profit after non-controlling interests."
FY2023,capex,221.0,EUR,m,consolidated,false,S03,true,"CAPEX AL."
FY2024,revenue,1101.6,EUR,m,consolidated,false,S04,true,"HT Group. S05 prior-year column and S16 consistent."
FY2024,ebitda,416.2,EUR,m,consolidated,false,S04,true,"Adjusted EBITDA AL. (Unadjusted EBITDA AL = 400.4 per S04.)"
FY2024,ebitda_margin,37.8,EUR,pct,consolidated,false,S04,true,"Adjusted EBITDA AL margin."
FY2024,net_income,141.9,EUR,m,consolidated,false,S04,true,"Net profit after non-controlling interests."
FY2024,capex,242.9,EUR,m,consolidated,false,S04,true,"CAPEX AL."
FY2025,revenue,1141.7,EUR,m,consolidated,false,S05,true,"HT Group. (S16 annual report: 1141.669 EUR m.)"
FY2025,ebitda,429.8,EUR,m,consolidated,false,S05,true,"Adjusted EBITDA AL."
FY2025,ebitda_margin,37.6,EUR,pct,consolidated,false,S05,true,"Adjusted EBITDA AL margin."
FY2025,net_income,143.0,EUR,m,consolidated,false,S05,true,"Net profit after non-controlling interests."
FY2025,capex,268.4,EUR,m,consolidated,false,S05,true,"CAPEX AL."
Q1-2026,revenue,271.9,EUR,m,consolidated,false,S07,true,"HT Group; Q1-2026 (vs Q1-2025 267.6)."
Q1-2026,ebitda,98.4,EUR,m,consolidated,false,S07,true,"Adjusted EBITDA AL."
Q1-2026,ebitda_margin,36.2,EUR,pct,consolidated,false,S07,true,"Adjusted EBITDA AL margin."
Q1-2026,net_income,29.9,EUR,m,consolidated,false,S07,true,"Net profit after non-controlling interests."
Q1-2026,capex,62.6,EUR,m,consolidated,false,S07,true,"CAPEX AL."
FY2021,mobile_subscribers,2.276,,m,consolidated,false,S01,true,"HT Group in Croatia mobile customers, 2,276k = 2.276m. FY2021 column of S01."
FY2021,fixed_broadband_subscribers,0.633,,m,consolidated,false,S01,true,"Broadband access lines - retail, 633k = 0.633m."
FY2021,tv_subscribers,0.536,,m,consolidated,false,S01,true,"TV customers, 536k."
FY2022,mobile_subscribers,2.305,,m,consolidated,false,S02,true,"Mobile customers 2,305k (HT Group in Croatia)."
FY2022,fixed_broadband_subscribers,0.648,,m,consolidated,false,S02,true,"Broadband retail 648k."
FY2022,tv_subscribers,0.538,,m,consolidated,false,S02,true,"TV customers 538k."
FY2023,mobile_subscribers,2.336,,m,consolidated,false,S03,true,"Mobile customers 2,336k."
FY2023,fixed_broadband_subscribers,0.661,,m,consolidated,false,S03,true,"Broadband retail 661k."
FY2023,tv_subscribers,0.539,,m,consolidated,false,S03,true,"TV customers 539k."
FY2024,mobile_subscribers,2.477,,m,consolidated,false,S04,true,"Mobile customers 2,477k."
FY2024,fixed_broadband_subscribers,0.669,,m,consolidated,false,S04,true,"Broadband retail 669k."
FY2024,tv_subscribers,0.554,,m,consolidated,false,S04,true,"TV customers 554k."
FY2025,mobile_subscribers,2.539,,m,consolidated,false,S05,true,"Mobile customers 2,539k."
FY2025,fixed_broadband_subscribers,0.674,,m,consolidated,false,S05,true,"Broadband connections retail 674k."
FY2025,tv_subscribers,0.555,,m,consolidated,false,S05,true,"TV connections 555k."
Q1-2026,mobile_subscribers,2.517,,m,consolidated,false,S07,true,"Mobile customers 2,517k (HT Group in Croatia)."
Q1-2026,fixed_broadband_subscribers,0.672,,m,consolidated,false,S07,true,"Broadband connections retail 672k."
Q1-2026,tv_subscribers,0.552,,m,consolidated,false,S07,true,"TV connections 552k."
