period,metric,segment,value,unit,source_id,estimated
FY2021,mobile_subscribers,mobile,2.276,m,S01,false
FY2022,mobile_subscribers,mobile,2.305,m,S02,false
FY2023,mobile_subscribers,mobile,2.336,m,S03,false
FY2024,mobile_subscribers,mobile,2.477,m,S04,false
FY2025,mobile_subscribers,mobile,2.539,m,S05,false
Q1-2026,mobile_subscribers,mobile,2.517,m,S07,false
FY2021,fixed_broadband_subscribers,fixed,0.633,m,S01,false
FY2022,fixed_broadband_subscribers,fixed,0.648,m,S02,false
FY2023,fixed_broadband_subscribers,fixed,0.661,m,S03,false
FY2024,fixed_broadband_subscribers,fixed,0.669,m,S04,false
FY2025,fixed_broadband_subscribers,fixed,0.674,m,S05,false
Q1-2026,fixed_broadband_subscribers,fixed,0.672,m,S07,false
FY2021,tv_subscribers,tv,0.536,m,S01,false
FY2022,tv_subscribers,tv,0.538,m,S02,false
FY2023,tv_subscribers,tv,0.539,m,S03,false
FY2024,tv_subscribers,tv,0.554,m,S04,false
FY2025,tv_subscribers,tv,0.555,m,S05,false
Q1-2026,tv_subscribers,tv,0.552,m,S07,false
FY2021,arpu,mobile,98,HRK,S01,false
FY2023,arpu,mobile,11,EUR,S03,false
FY2025,arpu,mobile,11.3,EUR,S05,false
FY2021,arpu,fixed,NA,EUR,S01,false
FY2023,arpu,fixed,15,EUR,S03,false
FY2025,arpu,fixed,15.8,EUR,S05,false
FY2023,arpu,tv,12,EUR,S03,false
FY2025,arpu,tv,14.3,EUR,S05,false
FY2021,mobile_market_share,mobile,44,pct,S01,false
